name,intercept,ѓ,,‹,global,,“,,›,Ј,const,Э,(,«,0,finally,8,»,do,Г,H,void,P,У,import,X,Ы,`,г,h,л,yield,try,p,у,x,ы,Ђ,,€,,ђ,pass,,,Д, ,#,Ё,+,°,3,protected,volatile,new,";",public,А,C,И,K,Р,S,interface,Ш,[,$,а,c,и,k,р,s,ш,{,Ѓ,‰,private,unsigned,‘,boolean,™,Ў,from,raise,&,union,і,.,±,6,№,>,Б,F,Й,else,assert,transient,V,catch,^,case,f,this,Щ,n,с,while,del,v,щ,def,~,,ь,synchronized,†,is,–,Ћ,in,ћ,!,¦,),®,1,strictfp,¶,9,if,Л,ѕ,A,х,Ж,I,О,Q,Ц,Y,Ю,a,short,ж,i,register,or,q,switch,ц,y,ю,elif,,‡,,Џ,,—,џ,й,typedef,struct,§,except,Ї,extends,4,·,<,ї,return,D,З,auto,L,П,break,T,Ч,not,ё,\,Я,instanceof,d,з,l,п,continue,t,ч,|,я,„,Њ,static,”,sizeof,њ,¤,',¬,/,ґ,7,print,ј,?,goto,G,enum,М,O,Ф,W,byte,super,throw,_,д,g,package,м,o,©,ф,w,throws,,lambda,,…,float,Ќ,extern,•,ќ,"doublequote",Ґ,*,­,long,2,µ,о,:,Ѕ,final,implements,B,Е,J,Н,R,Х,@,Z,with,",",b,е,default,double,j,н,signed,r,native,z,э,Ь,and,‚,int,abstract,Љ,char,as,’,љ,ў,%,Є,-,б,І,5,є,=,В,E,exec,К,M,Т,U,N,],class,С,в,e,for,к,m,Ъ,т,u,ъ,}
c,26.56607,-1534689,0,0,63.54852,0,-121379.7,0,0,0,-143.1366,0,3504.491,-992445.8,-140.6818,-13655.55,202.1448,0,-232.5026,60610.15,48.87067,-2716.032,-381.1018,0,2489.685,8.943873,0,-136.2527,0,32.98588,0,-678.6901,858.4817,0.8256415,0,-158.1599,0,370721.4,0,0,0,0,177.8131,0,0,0,-108171.6,23.79777,0,7.178747,0,-136.7204,4898.759,522.0744,3423.915,-161.6306,2854.608,0,-545.2616,0,48.43868,-409686.2,255.6663,2156.507,0,-43717.84,-12.64222,0,10.61653,0,-499.5864,0,-148.5682,0,-45287.02,0,0,3057.044,11509.85,0,-3033.443,0,0,-778.1094,-624.9209,-32.79006,9314.026,0,289.3456,0,-272.3395,0,-377.8036,0,85.09837,0,-1282.323,535.1698,1034.857,229.1512,7595.852,-5171.723,131.692,-308.7912,5326.598,0,-46.06042,0,296.6,-80.4562,-102.8524,0,934.1817,-40.77086,0,0,10903.83,0,1341.817,0,0,1019.59,0,436.3054,1293325,-3432.934,0,-119.9692,0,122924,97.74607,589.2423,0,0,27.76815,0,0,193.9365,0,-748.1848,0,96.47967,0,188.4876,-178.6568,0,-166.0318,-1958.378,83.62898,113.9009,-2911.584,0,-41.07201,0,-177.0843,0,0,0,0,0,0,0,0,2312.36,-1044.112,0,-35.28167,0,-383.0632,110.2737,0,-31.7472,0,-442.1133,-0.4991046,0,-4024.561,86.99719,0,-632.0353,215.8131,0,4665.897,0,-228.2054,0,-891.488,-131.6656,0,-35.52576,0,-5663.166,-156.2331,0,-865.358,0,0,0,170.107,0,-5279.508,0,0,240.1703,0,-83.16203,0,202.9159,-1568.279,0,924.8398,-6323.116,-381.7937,-226.444,0,-51.58667,0,-64.1216,6224.686,-1250.042,3870.799,-50.03776,0,-271.5361,11108.2,0,113.1628,2208.896,0,-203.0419,-2311.957,0,589.1346,0,0,-95.05364,0,-1486.136,0,0,194.3816,0,-150.2755,0,1881.417,-204.0454,0,0,490.5079,0,1621.733,-4846.374,430.2789,0,-358.6898,0,-176.6775,0,642.4333,-1236.329,-402.2119,140.5637,133.4018,0,556.4396,-1643.384,-190.7553,0,-12535.6,-65.67365,40759.57,223.388,0,0,294.4877,0,-98.92876,-4398.686,0,-1100.846,25.37353,0,0,0,-444.7252,0,-100.6379,0,17073.41,59.84768,0,10.06404,0,-232.8744,-5618.296,0,88.94572,0,-216.9356,-742.9176,43906.27,-367.8997,0,0,165.9992,-904.8003,0,-266.573,0,0,-53.08838,0,45164.57
java,26.56606,829068,0,0,-2917.529,0,-5647.619,0,0,0,-240.1994,0,-13436.25,-296114,111.3385,3052.39,-216.2507,0,592.8899,14136.15,-18.89459,2509.412,267.7801,0,-2086.643,-292.2431,0,-104.7575,0,-74.06209,0,189.5351,-598.5263,16.04652,0,-10.27108,0,-96652.79,0,0,0,0,237.2658,0,0,0,-11405.34,7.400306,0,93.76943,0,364.7163,-3824.175,-410.4706,-3317.902,-97.94156,-2884.321,0,273.0614,0,102.396,42739.83,-179.5176,-3551.094,0,23013.54,-1009.21,0,-31.48751,0,82.19214,0,138.4544,0,876.75,0,0,-4769.2,-693.384,0,1194.701,0,0,1537.226,-725.6484,-151.4003,-5294.956,0,-436.035,0,-47.7455,0,-456.4178,0,-348.3647,0,1220.394,-1244.466,-892.4761,-403.9198,-8016.212,3456.021,-748.9512,167.2625,-7496.828,0,89.56697,0,-767.307,572.4754,87.27277,0,328.7482,83.2983,0,0,-13612.96,0,512.0078,0,0,83.44793,0,-143.8205,-820263.7,13300.86,0,158.0445,0,-156969.9,-39.18643,-289.0054,0,0,-241.824,0,0,-204.3992,0,717.3526,0,-278.4214,0,-115.7059,9.438968,0,-56.6899,445.0506,771.171,-91.67943,2077.734,0,-93.09399,0,578.0673,0,0,0,0,0,0,0,0,-2172.4,880.2881,0,158.1008,0,91.74357,-414.4301,0,382.4015,0,315.2988,171.7264,0,-1675.118,92.90005,0,1139.313,-92.06101,0,-650.124,0,108.5712,0,-4093.783,26.13905,0,19.01438,0,10760.85,35.62083,0,510.0165,0,0,0,-619.6618,0,932.6921,0,0,38.34248,0,-66.68041,0,137.7477,71.85847,0,-334.7011,137.1767,126.367,-1375.39,0,312.1575,0,-268.8005,-8959.22,539.4516,-2721.776,111.0928,0,31.31207,-11517.53,0,-59.90025,-25725.8,0,361.9878,-401.4368,0,-858.4168,0,0,-174.5089,0,1418.49,0,0,-125.2499,0,12.62308,0,-1160.027,-62.24271,0,0,119.4648,0,388.0978,5167.968,-489.5408,0,353.3666,0,66.27507,0,-544.4425,-585.1418,-1770.979,-104.4412,-2.146338,0,-2766.522,-3523.334,368.1093,0,1069.663,0.452457,-86826.64,95.18793,0,0,-750.6812,0,-15.37091,4051.848,0,471.4944,1460.989,0,0,0,-204.5078,0,157.4406,0,29208.96,247.8702,0,228.2445,0,158.1983,933.7235,0,-58.26308,0,-211.5167,267.3986,-22662.65,-1592.835,0,0,-136.5532,200.842,0,129.9515,0,0,-32.68781,0,-1014.661
python,-26.56607,1544512,0,0,-5114.362,0,78284.97,0,0,0,101.8351,0,7584.442,978859.7,79.76301,6899.171,-60.79333,0,612.3795,-73392.47,-2.079325,-161.2002,144.9206,0,-706.0625,282.6433,0,161.1875,0,16.45583,0,274.8096,294.6768,17.76274,0,176.2279,0,-78212.77,0,0,0,0,60.65025,0,0,0,-56827.45,-105.3257,0,9.489809,0,-0.7110312,-26.82394,126.8412,614.7705,322.878,244.7799,0,246.831,0,92.9025,231064.5,116.1379,710.7027,0,3258.83,198.0896,0,21.67693,0,229.6699,0,-19.77615,0,-13488.66,0,0,-376.8389,-75253.21,0,594.1468,0,0,-1401.323,1177.894,153.6342,-6534.369,0,159.4262,0,242.6123,0,270.8268,0,103.1971,0,-1725.544,190.9294,-1030.969,-100.8097,-788.7025,3344.767,1455.873,110.0505,390.1923,0,2.605202,0,-4500.022,-260.0973,22.49115,0,-1272.364,-218.7578,0,0,-260.7856,0,-1696.866,0,0,-893.3572,0,51.86378,-1217747,-7433.509,0,75.21851,0,-22593.18,-194.7245,-115.6759,0,0,4.613681,0,0,-61.78792,0,-19.85214,0,65.20347,0,64.64278,-1016.605,0,218.5695,463.5574,-339.9995,120.1486,-1307.383,0,9.775654,0,972.5598,0,0,0,0,0,0,0,0,-399.8292,167.6609,0,-2059.686,0,316.4224,210.8383,0,-258.3345,0,208.4783,3.483799,0,1287.376,14.10192,0,-414.5535,108.4919,0,-2599.792,0,186.3635,0,-576.7565,24.66437,0,19.83208,0,2427.075,25.0965,0,372.8587,0,0,0,41.05336,0,1269.02,0,0,-239.2228,0,97.8305,0,-0.2055319,1374.976,0,386.8077,845.6715,289.0763,104.641,0,-168.2706,0,731.1663,620.0474,1298.223,-581.3024,56.07471,0,187.6576,-1174.382,0,24.99883,41417.49,0,-69.74442,709.2989,0,1016.169,0,0,-564.2015,0,804.8041,0,0,-37.09887,0,156.6707,0,279.9709,26.03383,0,0,-863.1942,0,474.8277,-1282.189,56.73469,0,-27.04649,0,117.9915,0,113.2287,431.9846,355.3496,-47.12683,-22.67068,0,765.4949,4552.357,95.62404,0,74801.9,39.98583,-142.2424,-169.0237,0,0,57.32896,0,404.5135,-129.3899,0,775.6081,-588.9706,0,0,0,204.3787,0,105.1358,0,-30131.53,-330.5907,0,-192.2177,0,88.00964,3525.79,0,-43.3368,0,171.6213,-46.94525,-3712,1019.22,0,0,-12.66717,783.0355,0,48.983,0,0,56.70178,0,14127.99
